barangay_name,lgu_name,total_ha,canopy_pct_v6_2019,canopy_pct_v6_2020,canopy_pct_v6_2021,canopy_pct_v6_2022,canopy_pct_v6_2023,canopy_pct_v6_2024,canopy_pct_v6_2025,canopy_pct_v6_2026,canopy_ha_v6_2019,canopy_ha_v6_2020,canopy_ha_v6_2021,canopy_ha_v6_2022,canopy_ha_v6_2023,canopy_ha_v6_2024,canopy_ha_v6_2025,canopy_ha_v6_2026
Corazon de Jesus,San Juan,32.7,10.233,10.384,9.437,8.978,8.402,10.313,8.956,8.865,3.3,3.4,3.1,2.9,2.7,3.4,2.9,2.9
Ermitaño,San Juan,10.3,4.34,6.201,5.9,6.074,4.812,8.363,6.949,7.567,0.4,0.6,0.6,0.6,0.5,0.9,0.7,0.8
Greenhills,San Juan,188.6,5.201,5.809,5.522,6.986,5.733,6.663,6.945,6.143,9.8,11.0,10.4,13.2,10.8,12.6,13.1,11.6
Isabelita,San Juan,2.9,9.543,12.568,13.188,9.003,9.846,8.979,7.986,6.341,0.3,0.4,0.4,0.3,0.3,0.3,0.2,0.2
Kabayanan,San Juan,18.6,6.4,7.442,6.283,7.132,5.351,6.621,8.952,9.425,1.2,1.4,1.2,1.3,1.0,1.2,1.7,1.8
Little Baguio,San Juan,44.4,6.705,8.175,7.708,7.223,7.176,7.079,7.705,7.639,3.0,3.6,3.4,3.2,3.2,3.1,3.4,3.4
Maytunas,San Juan,20.5,8.715,7.965,6.917,8.628,7.573,7.862,9.262,7.65,1.8,1.6,1.4,1.8,1.6,1.6,1.9,1.6
Onse,San Juan,9.8,7.189,9.531,7.884,6.417,6.992,6.71,6.001,6.322,0.7,0.9,0.8,0.6,0.7,0.7,0.6,0.6
Pasadena,San Juan,24.8,9.442,8.519,7.164,10.523,8.212,8.858,9.623,8.139,2.3,2.1,1.8,2.6,2.0,2.2,2.4,2.0
Pedro Cruz,San Juan,18.7,5.739,8.041,6.677,7.459,8.104,9.142,7.984,10.122,1.1,1.5,1.3,1.4,1.5,1.7,1.5,1.9
Progreso,San Juan,5.1,5.489,4.626,3.646,5.631,3.219,2.325,2.45,5.197,0.3,0.2,0.2,0.3,0.2,0.1,0.1,0.3
