barangay_name,lgu_name,total_ha,canopy_pct_2025,canopy_pct_2019,canopy_trend_pct_per_yr,flood_frac,flood_pct,hand_m,elev_m,builtup_prob,dist_water_m
Barangay 109,Caloocan,7.0,1.516,0.262,0.2573,0.0,0.0,4.38,19.87,0.7429,1961.1
Barangay 109,Pasay,0.9,5.257,4.352,-0.2158,0.0,0.0,2.87,8.47,0.748,1090.1
Barangay 11,Pasay,2.0,5.431,6.135,-0.0885,0.0,0.0,3.1,8.02,0.7297,451.0
Barangay 11,Caloocan,4.2,0.154,0.471,-0.0193,0.0,0.0,8.06,12.87,0.738,1302.5
Barangay 110,Caloocan,2.5,0.236,3.043,-0.2889,0.0,0.0,4.57,19.93,0.733,1735.8
Barangay 110,Pasay,1.9,4.914,4.364,-0.2435,0.0,0.0,2.49,8.74,0.7412,1111.6
Barangay 111,Caloocan,2.5,0.419,2.626,-0.3073,0.0,0.0,3.86,19.36,0.7503,1864.7
Barangay 111,Pasay,1.6,10.232,5.105,0.3738,0.0,0.0,2.82,8.42,0.7426,1131.5
Barangay 112,Caloocan,2.4,0.786,0.032,-0.1207,0.0,0.0,3.63,19.13,0.749,1991.8
Barangay 112,Pasay,1.1,10.536,7.472,0.3122,0.0,0.0,2.33,7.93,0.7398,1060.3
Barangay 113,Caloocan,2.4,0.102,2.678,-0.3033,0.0,0.0,4.05,19.29,0.7314,1642.6
Barangay 113,Pasay,3.1,6.441,6.65,0.1867,0.0,0.0,2.21,7.81,0.7435,863.7
Barangay 114,Caloocan,1.6,0.0,3.162,-0.3696,0.0,0.0,2.32,17.82,0.7383,1741.1
Barangay 114,Pasay,2.4,10.056,8.243,0.4313,0.0,0.0,2.32,7.92,0.7305,966.5
Barangay 115,Caloocan,1.4,0.897,2.135,-0.2289,0.0,0.0,2.45,17.9,0.75,1807.3
Barangay 115,Pasay,4.7,7.732,6.287,0.4384,0.0,0.0,1.99,7.59,0.7319,841.3
Barangay 116,Caloocan,2.6,2.338,3.036,-0.1066,0.0,0.0,4.64,19.33,0.7466,1906.4
