barangay_name,lgu_name,total_ha,canopy_pct_2025,canopy_pct_2019,canopy_trend_pct_per_yr,flood_frac,flood_pct,hand_m,elev_m,builtup_prob,dist_water_m
Pio del Pilar,Makati,90.7,4.66,2.55,0.2695,0.0,0.0,2.73,9.0,0.7195,344.1
Pitogo,Taguig,17.0,4.08,2.334,0.4791,0.0,0.0,7.39,22.07,0.7278,469.7
Plainview,Mandaluyong,107.1,3.734,3.212,0.149,0.0,0.0,3.69,9.07,0.7379,672.9
Pleasant Hills,Mandaluyong,20.9,3.941,3.106,0.0319,0.0,0.0,8.04,21.54,0.7222,1013.5
Poblacion,Pateros,6.6,7.607,5.441,0.2995,0.0,0.0,2.86,8.16,0.7367,1305.6
Poblacion,Valenzuela,6.1,10.222,4.707,0.1966,0.0,0.0,1.91,3.97,0.7206,278.8
Poblacion,Mandaluyong,23.0,7.496,2.872,0.514,0.0,0.0,4.19,9.09,0.7352,597.1
Post Proper Northside,Taguig,5.8,6.104,4.066,0.3238,0.0,0.0,12.18,15.72,0.7106,310.9
Post Proper Southside,Taguig,11.2,19.436,21.574,-0.2723,0.0,0.0,10.78,31.14,0.6235,888.6
Progreso,San Juan,5.1,2.45,5.489,-0.2297,0.0,0.0,2.76,8.74,0.7206,94.6
Pulanglupa Dos,Las Pinas,205.5,5.309,5.36,0.0817,0.0,0.0,1.83,11.13,0.7316,1372.2
Pulo,Valenzuela,5.4,11.587,4.878,0.2895,0.0,0.0,0.39,3.35,0.6246,189.2
Quirino 2-A,Quezon City,16.7,3.076,4.985,-0.1303,0.0,0.0,4.04,46.01,0.7465,2166.5
Quirino 2-B,Quezon City,14.6,4.556,4.059,0.2462,0.0,0.0,4.33,47.18,0.7408,2115.4
Quirino 2-C,Quezon City,8.0,5.328,5.582,0.292,0.0,0.0,2.09,47.58,0.74,2060.4
Quirino 3-A,Quezon City,5.5,2.169,0.262,0.3706,0.0,0.0,2.99,46.48,0.7394,2006.6
Rincon,Valenzuela,41.9,6.88,2.43,0.421,0.0,0.0,2.59,5.12,0.7028,548.2
Rivera,San Juan,6.4,3.654,4.69,-0.3441,0.0,0.0,2.4,8.4,0.7058,135.9
Rizal,Taguig,72.5,3.182,1.579,0.3189,0.0,0.0,1.34,6.37,0.7342,2085.4
Roxas,Quezon City,45.9,8.444,7.266,-0.1082,0.0,0.0,5.36,16.41,0.7339,988.7
Sacred Heart,Quezon City,57.9,8.16,5.786,0.0575,0.0,0.0,12.09,37.9,0.7388,1777.5
Sagad,Pasig,10.7,5.77,4.368,0.2073,0.0,0.0,0.87,6.67,0.7138,545.7
Saint Ignatius,Quezon City,25.0,10.183,8.477,0.1669,0.0,0.0,31.84,42.01,0.734,574.2
Saint Joseph,San Juan,3.8,6.185,4.202,0.2166,0.0,0.0,15.26,24.76,0.729,1012.7
Saint Peter,Quezon City,26.9,2.871,1.047,0.0361,0.0,0.0,3.37,14.41,0.7464,1789.0
Salapan,San Juan,17.8,6.142,7.804,-0.198,0.0,0.0,2.56,10.21,0.7343,435.8
Salvacion,Quezon City,21.0,2.661,1.694,-0.02,0.0,0.0,3.05,10.09,0.7455,1111.9
San Agustin,Quezon City,104.9,11.046,10.788,-0.11,0.0,0.0,6.95,54.57,0.6984,3951.8
San Antonio,Makati,93.1,3.764,3.006,0.2193,0.0,0.0,1.52,8.16,0.7123,512.8
San Antonio,Pasig,73.2,9.498,5.586,0.3771,0.0,0.0,16.64,50.57,0.6778,365.0
San Isidro,Makati,47.6,2.204,1.94,0.2472,0.0,0.0,1.25,7.19,0.7319,884.0
San Isidro,Quezon City,12.0,2.583,1.342,0.0526,0.0,0.0,6.29,12.57,0.7486,1042.6
San Isidro Labrador,Quezon City,25.8,5.515,2.943,0.1689,0.0,0.0,2.89,9.93,0.742,736.6
San Jose,Quezon City,26.1,2.472,1.24,0.1201,0.0,0.0,5.48,19.15,0.7443,2344.6
San Jose,Mandaluyong,8.7,4.193,3.729,0.1129,0.0,0.0,5.27,9.59,0.7367,787.9
San Martin de Porres,Quezon City,21.1,5.006,5.433,0.027,0.0,0.0,5.48,42.63,0.7356,952.4
San Pedro,Pateros,9.0,9.401,8.844,-0.0985,0.0,0.0,1.67,7.24,0.7126,1042.0
San Perfecto,San Juan,8.3,4.081,3.942,0.0557,0.0,0.0,4.94,11.02,0.7258,282.9
San Roque,Quezon City,65.4,5.048,4.434,0.1176,0.0,0.0,6.52,52.38,0.7386,1797.0
San Roque,Pateros,16.5,5.839,5.924,0.0086,0.0,0.0,1.49,6.3,0.7184,1447.6
San Vicente,Quezon City,11.9,12.73,12.158,-0.2361,0.0,0.0,1.23,50.51,0.68,930.9
Sangandaan,Quezon City,91.1,6.663,5.514,-0.0026,0.0,0.0,5.1,31.03,0.7374,3400.0
Santa Ana,Pateros,58.3,5.355,4.764,0.1654,0.0,0.0,1.05,5.84,0.7082,1077.2
Santa Lucia,San Juan,31.7,10.526,9.623,0.0665,0.0,0.0,9.75,18.87,0.725,1021.9
Santa Lucia,Quezon City,66.1,8.027,7.753,0.0421,0.0,0.0,4.2,45.74,0.7356,2084.6
Santa Monica,Quezon City,166.6,10.099,10.11,-0.0305,0.0,0.0,4.65,45.95,0.7291,2447.8
Santa Teresita,Quezon City,34.8,5.055,2.334,0.1574,0.0,0.0,3.55,10.54,0.7355,306.4
Santo Niño,Quezon City,20.3,6.321,3.824,-0.0101,0.0,0.0,5.98,13.04,0.7406,886.7
Santo Rosario–Kanluran,Pateros,13.8,7.185,6.064,0.3803,0.0,0.0,1.19,6.79,0.7296,530.3
Santo Rosario–Silangan,Pateros,30.3,6.976,6.764,-0.0667,0.0,0.0,1.55,6.76,0.7102,491.7
Santol,Quezon City,44.2,7.214,6.837,-0.0551,0.0,0.0,4.39,11.2,0.7179,534.8
Sauyo,Quezon City,283.5,10.393,8.408,0.0763,0.0,0.0,6.7,50.97,0.7155,3160.7
Sienna,Quezon City,39.3,3.7,2.949,-0.0002,0.0,0.0,4.85,15.33,0.7401,1985.6
Sikatuna Village,Quezon City,40.8,6.978,6.255,-0.0929,0.0,0.0,9.11,51.64,0.7415,1519.8
Silangan,Quezon City,22.4,4.061,4.997,-0.0522,0.0,0.0,3.38,45.91,0.7437,2229.2
Singkamas,Makati,13.8,1.942,1.942,0.0023,0.0,0.0,1.41,7.81,0.7405,1024.3
Socorro,Quezon City,118.4,6.215,3.965,0.1578,0.0,0.0,9.35,49.29,0.6916,1656.3
South Cembo,Taguig,21.2,4.505,4.464,-0.0313,0.0,0.0,7.94,21.83,0.7292,605.5
South Daang Hari,Taguig,28.3,7.455,6.084,0.0078,0.0,0.0,14.97,23.04,0.7192,794.3
Sumilang,Pasig,10.9,6.984,7.738,-0.0677,0.0,0.0,4.32,6.29,0.6774,144.7
Tabacalera,Pateros,8.8,7.41,9.231,-0.2384,0.0,0.0,1.49,7.06,0.7277,731.1
Tagumpay,Quezon City,10.8,6.464,5.7,0.1802,0.0,0.0,2.03,48.34,0.7356,1691.2
Talon Dos,Las Pinas,420.4,6.565,6.882,0.0434,0.0,0.0,4.98,21.22,0.7344,1705.0
Talon Kuatro,Las Pinas,71.6,6.888,6.593,0.0858,0.0,0.0,2.73,24.64,0.7421,2263.2
Talon Singko,Las Pinas,165.0,5.313,5.732,0.0281,0.0,0.0,4.58,28.51,0.7416,2520.3
Talon Tres,Las Pinas,94.1,6.113,5.654,0.1048,0.0,0.0,3.51,22.83,0.687,2104.2
Tandang Sora,Quezon City,393.6,7.549,6.668,0.1033,0.0,0.0,9.0,47.06,0.7321,3205.7
Tanyag,Taguig,36.6,5.145,5.032,0.0409,0.0,0.0,18.39,30.7,0.7041,626.1
Teachers Village East,Quezon City,21.7,7.699,7.621,-0.0295,0.0,0.0,8.64,58.59,0.7257,1163.0
Teachers Village West,Quezon City,23.3,7.394,8.091,-0.1741,0.0,0.0,5.92,54.48,0.7336,948.9
Tejeros,Makati,28.6,3.339,2.561,0.0799,0.0,0.0,2.26,8.44,0.7357,839.3
Tibagan,San Juan,17.2,6.926,5.848,-0.0731,0.0,0.0,9.02,15.88,0.7365,594.8
Tuktukan,Taguig,31.6,4.692,4.104,0.0962,0.0,0.0,2.12,5.03,0.7144,1163.1
UP Village,Quezon City,38.9,10.321,11.273,-0.1516,0.0,0.0,7.7,55.9,0.7201,805.6
Upper Bicutan,Taguig,45.5,3.555,3.827,0.0987,0.0,0.0,10.63,23.69,0.7427,968.8
Urdaneta,Makati,74.6,17.015,12.984,0.6043,0.0,0.0,5.55,18.21,0.667,543.6
Valencia,Quezon City,43.5,9.446,9.826,-0.1021,0.0,0.0,4.86,23.2,0.7267,473.3
Vergara,Mandaluyong,19.8,10.292,7.144,0.3587,0.0,0.0,5.41,5.79,0.5921,133.8
Veterans Village,Quezon City,51.9,4.481,2.225,0.1983,0.0,0.0,5.88,28.97,0.737,1934.9
Villa Maria Clara,Quezon City,8.4,3.724,1.526,0.2782,0.0,0.0,1.51,50.62,0.7458,1049.8
Vitalez,Paranaque,21.0,4.257,3.18,0.576,0.0,0.0,1.61,8.36,0.7259,438.8
West Crame,San Juan,19.8,6.124,4.236,0.2591,0.0,0.0,8.17,37.61,0.733,1110.4
West Kamias,Quezon City,18.5,5.703,5.204,0.0847,0.0,0.0,2.15,39.31,0.7375,1806.9
West Triangle,Quezon City,68.5,7.029,7.035,-0.28,0.0,0.0,3.43,31.6,0.7169,1448.7
White Plains,Quezon City,57.1,11.381,10.173,0.1312,0.0,0.0,21.94,34.61,0.7263,784.1
Zapote,Las Pinas,65.1,4.636,4.142,0.1265,0.0,0.0,1.33,7.79,0.7274,355.9
