rank,site_id,name,desig,iucn_cat,status,status_yr,rep_area_ha,area_ha,forest2000_ha,loss_ha,pct_of_forest2000,pct_of_pa
183,555715022,"Island of Lamagon (Lamayan), Cepaya and Cobeton Wilderness Area",Wilderness Area,Not Assigned,Designated,1981,587.0,585.9,521.3,0.6,0.12,0.105
184,306417,Mulanay Watershed Forest Reserve,Watershed Forest Reserve,Not Assigned,Designated,1938,30.0,29.7,29.7,0.5,1.76,1.76
185,555583097,Calauag Watershed Forest Reserve,Watershed Forest Reserve,Not Assigned,Designated,1939,307.0,307.2,273.1,0.5,0.19,0.17
186,555583098,Kuapnit Balinsasayao National Park,National Park,Not Assigned,Designated,1937,377.0,376.7,367.3,0.5,0.13,0.13
187,555715051,Buhi Wildlife Sanctuary,Wildlife Sanctuary,IV,Designated,2018,1621.0,1621.7,162.4,0.5,0.28,0.029
188,7207,Bessang Pass Natural Monument/Landmark,Natural Monument,III,Designated,2018,581.0,580.6,552.4,0.5,0.1,0.092
189,306524,Mahugunao Watershed Forest Reserve,Watershed Forest Reserve,Not Assigned,Designated,1932,147.0,147.2,139.0,0.4,0.25,0.24
190,555583091,Island of Panglao; Mangrove areas from the west of Loboc River to the municipality of Laya Mangrove Swamp Forest Reserve,Protected Seascape,V,Designated,2018,2445.0,2446.4,132.7,0.4,0.28,0.015
191,555715023,"Island of Catiil, Colangaman, Lomislis, Tagangdio, Tintinan, and islet of Pamasuan Wilderness Area",Wilderness Area,Not Assigned,Designated,1981,219.0,219.2,172.7,0.4,0.2,0.161
192,555715032,Barrio Bagumbang to Malautan River Mangrove Swamp Forest Reserve,Mangrove Swamp Forest Reserve,Not Assigned,Designated,1981,543.0,543.4,315.3,0.4,0.12,0.068
193,306387,Lidlidda Watershed Forest Reserve,Protected Landscape,V,Designated,2018,1042.0,1041.1,970.9,0.3,0.03,0.025
194,306425,Binahaan River Watershed Forest Reserve,Watershed Forest Reserve,Not Assigned,Designated,1991,476.0,476.4,470.5,0.3,0.07,0.069
195,317298,Polilio Watershed Forest Reserve,Watershed Forest Reserve,Not Assigned,Designated,1966,126.0,126.0,125.8,0.3,0.28,0.275
196,555715049,Mado Hot Spring National Park,National Park,Not Assigned,Designated,1939,49.0,48.8,11.0,0.3,2.43,0.546
197,101392,Masinloc and Oyon Bay Protected Landscape and Seascape,Protected Landscape and Seascape,V,Designated,2018,7558.0,7543.1,504.9,0.2,0.04,0.003
198,305421,Baliangao Protected Landscape & Seascape,Protected Landscape and Seascape,V,Designated,2018,316.0,315.6,111.8,0.2,0.2,0.069
199,306396,Naguilian Watershed Reservation,Watershed Reservation,Not Assigned,Designated,1936,87.0,86.7,76.6,0.2,0.32,0.279
200,62059,Hinulugan Taktak National Park,Protected Landscape,V,Designated,2018,4.0,3.6,3.3,0.2,6.71,6.178
201,64413,Taklong Island National Marine Reserve,Resource Reserve,Ib,Designated,1990,1144.0,1144.2,133.1,0.1,0.05,0.006
202,7223,Sacred Mountain National Park,National Park,Not Assigned,Designated,1965,90.0,89.6,84.4,0.1,0.11,0.103
203,101399,Apo Island Protected Landscape & Seascape,Protected Landscape and Seascape,V,Designated,2018,691.0,691.9,49.7,0.0,0.0,0.0
204,13185,Island of Alibijaban Wildeness Area,Wilderness Area,Not Assigned,Designated,1981,1072.0,1073.1,202.1,0.0,0.0,0.0
205,13187,Island of Dampalit Wilderness Area,Wilderness Area,Not Assigned,Designated,1981,17.0,16.5,9.7,0.0,0.0,0.0
206,18474,Lake Malimanga Bird and Fish Sanctuary,Bird and Fish Sanctuary,Not Assigned,Designated,1980,23.0,22.8,13.4,0.0,0.0,0.0
207,198473,"Island of Banaon, Basaan, Saac, Tambu, Bambanon Wilderness Area",Protected Landscape and Seascape,V,Designated,2018,6446.0,6447.9,157.7,0.0,0.0,0.0
208,306389,Libunao Spring Watershed Forest Reserve,Protected Landscape,V,Designated,2018,47.0,47.1,45.2,0.0,0.0,0.0
209,306390,Bigbiga Spring Watershed Forest Reserve,Protected Landscape,V,Designated,2018,143.0,142.7,131.6,0.0,0.0,0.0
210,306391,Sta Lucia Protected Landscape,Protected Landscape,V,Designated,2018,196.0,196.1,123.6,0.0,0.0,0.0
211,306395,Santa Watershed Forest Reserve,Watershed Forest Reserve,Not Assigned,Designated,1935,27.0,27.2,27.0,0.0,0.0,0.0
212,306415,Maulawin Spring Watershed Forest Reserve,Protected Landscape,V,Designated,2018,183.0,183.2,177.9,0.0,0.0,0.0
213,306440,"Islands of Guinauyan, Naro, Chico, and Pobre Wilderness Area",Wildlife Sanctuary,IV,Designated,2000,8.0,7.8,2.0,0.0,0.0,0.0
214,306443,"Islands of Guinauyan, Naro, Chico, and Pobre Wilderness Area",Wildlife Sanctuary,IV,Designated,2000,110.0,110.0,43.4,0.0,0.0,0.0
215,306473,"Mangrove areas from Agio Point up to the Municipality of Cambuyao; Mangrove aras from Bo. Biabas to Bo. Ondol including Bo. Condary, and Juagdan except the Island of Tintiman Mangrove Wilderness area",Protected Landscape,Not Assigned,Designated,2018,1166.0,1165.9,472.4,0.0,0.0,0.001
216,306495,Cuatro Islas Protected Landscape & Seascape,Protected Landscape and Seascape,V,Designated,2018,11407.0,11406.9,96.4,0.0,0.0,0.0
217,306508,Sta. Cruz Island National Park,Protected Landscape and Seascape,V,Designated,2018,1827.0,1828.0,166.5,0.0,0.0,0.0
